1	37054	37054	4.916603E-02
2	1285	38339	1.619194E-02
3	277	38616	9.083911E-03
4	133	38749	5.671029E-03
5	66	38815	3.977419E-03
6	48	38863	2.745702E-03
7	29	38892	2.001540E-03
8	11	38903	1.719271E-03
9	13	38916	1.385681E-03
10	13	38929	1.052091E-03
11	8	38937	8.468052E-04
12	6	38943	6.928406E-04
13	5	38948	5.645368E-04
14	3	38951	4.875545E-04
15	4	38955	3.849115E-04
16	1	38956	3.592507E-04
17	1	38957	3.335899E-04
18	3	38960	2.566076E-04
21	2	38962	2.052861E-04
22	1	38963	1.796254E-04
24	3	38966	1.026431E-04
26	2	38968	5.132153E-05
27	1	38969	2.566076E-05
29	1	38970	0.000000E+00
